height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
8795472,2025-12-04T00:00:05.410581Z,1764806405410,6,4014E68E7700BE27AC503C5AE84253C2CCA920C52F631FB1677A2ED4AABDC1FE,A460F7A9868E3C318FBE8F429665A2E81AE44731,Kraken,2,242,97445,32,6128,16,0.0516,4180,991739,1044848,101327,5217599,0.0232420563,5117373.799999999759483394,888394.853251342115525712
8795473,2025-12-04T00:00:11.522597Z,1764806411522,6,4DB254367822CDA756119477AD2C64DE6EBA7EAD46F826B4B02E7610655F755A,0F581529A11D28339E2611D963EDE56D96F221CA,Tané,2,243,924,3,6112,4,0.001,2377,213852,291220,1974,5203294,0.0232420563,5103324.519999999760143696,885955.846735170282278584
8795474,2025-12-04T00:00:17.636766Z,1764806417636,6,A9CC75DD0266428021264E9CF5CEDB937404978B9A32BE4C6D90C7F7A2E877E8,FE50B7BCD40C9044B71C88E4C181772BFE93FFB1,ECAD Infra,3,248,105187,31,6114,16,0.0557,6211,1132424,1204748,109288,5205126,0.0232420563,5103352.939999999760142362,885960.780551365105322961
8795475,2025-12-04T00:00:23.749518Z,1764806423749,6,F5EF71B9E6635C39A75DA77E5FB0DDE51EC81DF625AFFD62E343784359473A40,CBFB913FC967932260667909727676760FA8FA24,Binary Builders,4,244,7155,4,6112,8,0.0152,1845,550317,703750,29792,5203920,0.0232420563,5105928.379999999760021316,886407.886377571828102918
8795476,2025-12-04T00:00:29.873546Z,1764806429873,6,BCBDB92F2B3F6378C5710394E51E235FF001EAD69551358FBAAF93742CE026D2,DA75DA0A9D9F8BFAF65DBEEEBBFDCF52EE4FE010,w3.labs,2,245,101982,32,6124,16,0.0539,4344,1032699,1085808,105864,5213520,0.0232420563,5111057.699999999759780247,887298.355134940925146397
8795477,2025-12-04T00:00:35.993613Z,1764806435993,6,12FF811502EA92408DCA6A051CEB91C52B14D29D2D70CEF836BA65351BC38310,3267A9ABDFA8C74963C059B6B3EF9BC68A074CAE,CUCK.,6,245,502778,6,6120,64,0.2689,223196,4998704,6027541,527662,5210147,0.0232420563,5110201.179999999759820499,887149.660122724534084884
8795478,2025-12-04T00:00:42.097837Z,1764806442097,6,9E270A612FBEBF2EDB82DDF3043EF70EB5719C12CF09442A7649A7AC00AB7B37,BD7E9EDAB2C6B09EC75D04F76EDFFEC068BA59F5,StakeLab.zone,2,246,99513,31,6104,16,0.0526,4227,1003337,1056436,103290,5196660,0.0232420563,5311458.879999999750361384,922088.734703753310228585
8795479,2025-12-04T00:00:48.203948Z,1764806448203,6,E3A5454FBDE7C85768E73BBD3EE4350B2658F3CD7BC34D7BFBC2DC1E41EADA5A,026AAE267ACF562B632289AF49FE3CED4A04D252,BinanceNode,3,243,333212,5,6106,32,0.1705,12286,2992204,3071124,334564,5198267,0.0232420563,5098444.119999999760373077,885108.591402404118106521
8795480,2025-12-04T00:00:54.332824Z,1764806454332,6,21D077ACBF085EBEF4CC832FEEDAD5AC7AA4F351FDA279E1732F33C4ECF211EC,D83849519A5CB73E4A9E3BCDF044C6EE8A32156B,Finoa Consensus Services,3,239,118139,92,6128,32,0.0655,5698,1343419,1423992,128537,5217647,0.0232420563,5125334.33999999975910924,889776.832180671342748537
8795481,2025-12-04T00:01:00.435592Z,1764806460435,6,41F6506257EEF85D835BA23D109628C4504B38C54D92BCF72C0F46D416FF956F,70C6BD00EE64DB5D60F5ACC8B4629CD610346889,Cosmostation,4,244,102044,35,6102,32,0.0615,5318,1371497,1487453,120694,5195421,0.0232420563,5097096.61999999976043641,884874.6604621323358301
