height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
9814741,2026-02-14T00:00:03.780541Z,1771027203780,6,5902604DC5959B80D5BD7582973F1A3A214F79D8F1468B31D7951829A1ACBE10,BB511598F58BB31A5E62A18DE17605392EB1F103,Everstake,4,244,73333,196,6079,16,0.0485,4953,1290284,1406391,95111,5175839,0.0232420563,5077903.319999999741026883,901079.875251509676433714
9814742,2026-02-14T00:00:09.854764Z,1771027209854,6,6D8A99BB71403D4D512B5FA070A086F516AA3963EFDB9F4C859B60BE283EB3FA,5BF16429EF39D58D9D428842DB7C582FB5844C88,Kiln,10,248,139359,128,6074,32,0.0913,58826,2262052,2953059,179168,5171119,0.0232420563,5072550.559999999741299869,900130.021737352721012267
9814743,2026-02-14T00:00:15.932089Z,1771027215932,6,D9031C218E66586955731B0D268084BDF2F7C2EB87E5BD4731FAE2F97EDA0658,8AC8EE7942D79BAC27B5B38CEDD2404C5E0D8BBD,Keplr,4,244,13,1,6077,8,0.004,10111,486091,621732,7879,5173761,0.0232420563,5127935.259999999738475258,909958.101443061314136173
9814744,2026-02-14T00:00:22.010187Z,1771027222010,6,1D62A02BB91174353EEBDE5AF5715003319D36318C21E5685D887F0EAB109FDA,6B2C63872F6D3402AEB5B616B63AE83982D6B5F6,wavefive,10,242,137989,79,6078,32,0.0998,17630,2658104,2996790,195872,5174418,0.0232420563,5080838.419999999751038866,901600.705572297499414422
9814745,2026-02-14T00:00:28.09692Z,1771027228096,6,4C0C4CA7477493D009014F6621157627F331158E827FA93D897AEA09108BFBFD,A5466F26A7ACC48107E3AB82D29F983640C1B328,Hex Trust,6,247,65061,174,6086,16,0.0539,11822,1474586,1664878,105805,5181769,0.0232420563,5095411.019999999750324813,904186.630444520234366101
9814746,2026-02-14T00:00:34.173385Z,1771027234173,6,B130399E9577F61A2A8AF46B85F2E5782543DAE353F8A618D29BACC87CC6673F,1650146F478A6096E4F980803646FC8EE3C36103,P2P.org 💙,12,243,109611,43,6076,32,0.1059,228743,3117112,3946668,207835,5173028,0.0232420563,5081152.999999999751023503,901656.528160325979435921
9814747,2026-02-14T00:00:40.245866Z,1771027240245,6,E4C93CD2835BF2382609CD873835DE7A78D7916B4E05ECD160A38959E53D2CA1,A460F7A9868E3C318FBE8F429665A2E81AE44731,Kraken,6,245,203662,110,6072,32,0.1105,34302,2271653,2524787,216890,5169637,0.0232420563,5290412.399999999740769749,938789.85283858560245084
9814748,2026-02-14T00:00:46.325749Z,1771027246325,6,CA7DAAB55B272D654449C45A27900E61A67312D58971331A5C585293796CDC49,38FBC528B8821A2E1D9242A4E2E26F1D4523C76E,ContributionDAO,9,244,25955,14,6079,16,0.0426,63333,1513138,2055151,83519,5175938,0.0232420563,5106035.19999999974980423,906071.903581021019141569
9814749,2026-02-14T00:00:52.404858Z,1771027252404,6,079730B534095D1C3B7E4F874CBC1BE31943660A8BBFBA356527187F8CCDF3FE,1AE1F880C1222EFB30D21B9D96601D62DD581593,ChainSafe,7,245,189791,286,6079,32,0.113,59833,2554450,2917920,221828,5175279,0.0232420563,5133839.759999999748441802,911005.855193307733065511
9814750,2026-02-14T00:00:58.489363Z,1771027258489,6,448EFB5514F60439B8F49CFDFEF2A82897EC99176DB9274E2DE026EB58430A1C,29C11CDC71E64AA29473EE85E4B7106B4F664A1D,Kairos Research X Firstset,17,237,39873,92,6084,16,0.0434,467591,2118217,3723590,85219,5179872,0.0232420563,5134910.899999999748389321,911195.93023603399058415
9814751,2026-02-14T00:01:04.56935Z,1771027264569,6,21A11064981A9108A01459C6703735011117D3A1C0C2F5F6FCD8518B5F0548B3,506DAF706B14EAC53B07CACA749BA16887DDCF80,NakoTurk,8,241,96870,31,6079,16,0.0559,108922,1495781,2380111,109735,5176027,0.0232420563,5530745.639999999728993416,981437.266679483993444772
9814752,2026-02-14T00:01:10.652681Z,1771027270652,6,329636F7C18DF41EEF89681A321A2B45DB784242329EF23F711F3A1775D6EF32,5944971767F0F5F1B03E0F5B48E1E539C8196CA8,bitcoinsuisse.com,9,246,28262,45,6083,16,0.03,24871,1160107,1952281,58907,5178874,0.0232420563,5182040.079999999746079985,919559.058213845930500842
9814753,2026-02-14T00:01:16.727393Z,1771027276727,6,4E4C5AF4122EC7CB4BF21BB3A906DC38DC4046B2B8BECDAEC0A94C037F08885C,05D2E22C1216CD30104BCDB6B122B1E7F1ACB5CD,P-OPS Team,16,248,195495,264,6074,32,0.1163,139562,3140809,4679771,228253,5171536,0.0232420563,5092478.85999999975046849,903666.315231494651112879
9814754,2026-02-14T00:01:22.801491Z,1771027282801,6,123942912AA5BFEC9049937D90A0E93E12D4E50C2186A4768727947C00BC4CED,70C6BD00EE64DB5D60F5ACC8B4629CD610346889,Cosmostation,13,245,97453,32,6074,32,0.0709,162998,2264017,3789132,139105,5171012,0.0232420563,5204362.519999999744986184,923520.201236003930280892
9814755,2026-02-14T00:01:28.893374Z,1771027288893,6,C44DCDCC38BEE4C6537FB71397A344424C9859BA7B45B292845C627056B71886,7B3A6C6838B90C5663CB54E87B9535941A87D27B,Staking Facilities,3,247,24114,78,6091,16,0.0169,27016,538783,703693,33180,5186154,0.0232420563,5242168.959999999743133673,930228.998123738205261782
9814756,2026-02-14T00:01:34.964959Z,1771027294964,6,B1D15ACF9DF9B0D25553CEFE2F2FC9AF86E92CC8537C22554B3D730E9CA825F6,026AAE267ACF562B632289AF49FE3CED4A04D252,BinanceNode,13,245,113867,48,6071,32,0.0854,168243,2435433,3909325,167641,5168874,0.0232420563,5091972.199999999750493317,903576.407823361554006629
9814757,2026-02-14T00:01:41.03968Z,1771027301039,6,6422B870F14C307C6A3A2C8EDA2835D0DB832D15E2C3A06CD1338C83392CA0C0,EBBC23A35E43E6A2460BDE3BCD024D964697FFFA,Upnode,9,250,121543,262,6074,32,0.0773,252145,2032077,2766035,151726,5171543,0.0232420563,5232990.279999999743583428,928600.230648739003139564
9814758,2026-02-14T00:01:47.126365Z,1771027307126,6,DE9C13EAEAB3A4FD54507949538AA2DFFD6BF25372F0ED579AE62CD405B4FEFB,E4CDFFF0D3D39E6B9E82C22A37A6FEADFEF1F58B,F5 Nodes,8,245,97570,32,6086,32,0.0764,82611,1964021,2949220,149949,5181728,0.0232420563,5325195.539999999739065371,944962.161613958940153592
9814759,2026-02-14T00:01:53.203873Z,1771027313203,6,30BC626A72C953F489ADE8C3AEFEA9B3B85B9387154D91B9A20C4BD15BA305BC,E2DDC50DEB3F56AA58F29EB1EBB4631A684F7684,01node,6,246,40992,79,6077,16,0.026,140701,850549,990969,51066,5173916,0.0232420563,5151396.459999999747581523,914121.312092155769155577
9814760,2026-02-14T00:01:59.280559Z,1771027319280,6,DDED6F3C81F8AFEE273D1F991CC43CEB406BFA387921920D295EBA06C6298156,5C23A5808A2DA15D3AE1B244596A411B291A7E21,CosmoWiz,12,242,129522,114,6076,32,0.074,199495,2063930,2919762,145226,5173216,0.0232420563,5207638.659999999744825657,924101.556101359720660409
9814761,2026-02-14T00:02:05.342389Z,1771027325342,6,EF399269657E233D5CE355035F75173366CABD7CAD07611278C1A73FE458DD7C,CB6133C282991C32985AC2779EA277EE8978AC63,Qubelabs,14,248,81981,219,6061,32,0.0558,354721,1976282,3509929,109492,5160569,0.0232420563,5252862.719999999742609678,932126.618312419744185301
9814762,2026-02-14T00:02:11.434158Z,1771027331434,6,2CD9588C61D1F9D6889085FBA4EC78A1AADA3731B6C1B1D8C6B296731F490CB7,C5F95CC6D11E428E581F4F48DC9E821B1D55DEF5,Coinbase,8,238,129897,91,6091,32,0.0722,56989,1726328,2246596,141713,5186057,0.0232420563,5429962.439999999733931796,963553.170253163478150181
9814763,2026-02-14T00:02:17.516479Z,1771027337516,6,54AC0791B24C1A6E626DC29650214330FD6642399A7D6B419F4EC99A5B4ABC34,D2CBEA3FC56E7941C6C7E47C2187246C77535E93,TTT VN,3,245,119866,32,6082,32,0.0633,5165,1234076,1290843,124171,5178013,0.0232420563,5130301.959999999748615156,910378.068455666571453164
9814764,2026-02-14T00:02:23.594477Z,1771027343594,6,18137D7A6F79AEE763385A8F8116A5A6478D81756B1858127A65C37FA2EC44D9,3267A9ABDFA8C74963C059B6B3EF9BC68A074CAE,CUCK.,10,243,74169,198,6077,16,0.05,294619,1577496,2754177,98077,5174333,0.0232420563,5075908.039999999751280457,900725.803888897863937496
9814765,2026-02-14T00:02:29.693858Z,1771027349693,6,E16172C0E975D1785215473740CAFA5CA0026A718104FEEC8A17964ABCAD49F5,126403A2CAA36DBDE0FB64A7AE72ED82979366F7,alphab.ai,7,237,46016,98,6099,16,0.0367,57506,1274090,1790980,71982,5192537,0.0232420563,5377412.87999999973650672,954228.189520256451009698
9814766,2026-02-14T00:02:35.765214Z,1771027355765,6,C303C246D5A44CF374D2C7680384BED19948FF0616C8BCC4FC5F5852CDDDA126,D291511283BEE9A7B91BD222E40F09A74D4AF558,polkachu.com,11,246,96493,33,6071,16,0.0527,314621,1585677,2414758,103517,5168679,0.0232420563,5121661.299999999749038548,908844.773257388975348999
